Import Employees from CSV,2020-04-24 21:25:21.209
Import Banks from CSV,2020-04-24 21:26:16.934
Import Clients from CSV,2020-04-24 21:26:16.956
Import Employees from CSV,2020-04-24 21:26:16.957
Imported Banks from CSV,2020-04-24 21:35:53.393
Created a new bank,2020-04-24 21:35:53.413
Created a new bank,2020-04-24 21:35:53.413
Created a new bank,2020-04-24 21:35:53.413
Created a new bank,2020-04-24 21:35:53.414
Created a new bank,2020-04-24 21:35:53.414
Created a new bank,2020-04-24 21:35:53.414
Created a new bank,2020-04-24 21:35:53.414
Created a new bank,2020-04-24 21:35:53.414
Created a new bank,2020-04-24 21:35:53.414
Created a new bank,2020-04-24 21:35:53.414
Created a new bank,2020-04-24 21:35:53.415
Created a new bank,2020-04-24 21:35:53.415
Imported Clients from CSV,2020-04-24 21:35:53.415
Created a new client,2020-04-24 21:35:53.416
Created a new client,2020-04-24 21:35:53.416
Created a new client,2020-04-24 21:35:53.416
Created a new client,2020-04-24 21:35:53.416
Created a new client,2020-04-24 21:35:53.416
Created a new client,2020-04-24 21:35:53.417
Created a new client,2020-04-24 21:35:53.417
Imported Employees from CSV,2020-04-24 21:35:53.417
Created a new employee,2020-04-24 21:35:53.419
Created a new employee,2020-04-24 21:35:53.42
Created a new employee,2020-04-24 21:35:53.42
Created a new employee,2020-04-24 21:35:53.42
Created a new employee,2020-04-24 21:35:53.42
Created a new employee,2020-04-24 21:35:53.42
Created a new employee,2020-04-24 21:35:53.42
Created a new employee,2020-04-24 21:35:53.421
Created a new employee,2020-04-24 21:35:53.421
Created a new employee,2020-04-24 21:35:53.421
Created a new employee,2020-04-24 21:35:53.421
Created a new employee,2020-04-24 21:35:53.421
Created a new employee,2020-04-24 21:35:53.421
Created a new employee,2020-04-24 21:35:53.421
Created a new employee,2020-04-24 21:35:53.421
Created a new employee,2020-04-24 21:35:53.422
Created a new employee,2020-04-24 21:35:53.422
Created a new employee,2020-04-24 21:35:53.422
Created a new employee,2020-04-24 21:35:53.422
Created a new employee,2020-04-24 21:35:53.422
Created a new employee,2020-04-24 21:35:53.422
Displayed all users,2020-04-24 21:35:53.423
Displayed all banks,2020-04-24 21:35:53.423
Displayed all employees,2020-04-24 21:35:53.423
Queried a client with name Andrei,2020-04-24 21:35:53.424
Queried the system for bank with best deposit,2020-04-24 21:35:53.424
Queried a client with name Andrei,2020-04-24 21:35:53.427
Queried a client with name Andrei,2020-04-24 21:35:53.428
Queried a client with name Andrei,2020-04-24 21:35:53.428
Queried a client with name Andrei,2020-04-24 21:35:53.432
Queried the system for bank with best credit card,2020-04-24 21:35:53.433
Queried the system for bank with best mortgage,2020-04-24 21:35:53.435
Queried the system for bank with best debit card,2020-04-24 21:35:53.435
Queried the system for client with most accounts,2020-04-24 21:35:53.435
